"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed"
"0600000US2500100000","County subdivisions not defined, Barnstable County, Massachusetts","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500103690","Barnstable Town city, Barnstable County, Massachusetts","4707","373","44","36","412","140","531","181","583","201","457","176","523","165","162","81","346","159","1322","281","327","115"
"0600000US2500107175","Bourne town, Barnstable County, Massachusetts","2375","279","85","51","178","130","256","134","258","129","224","103","229","123","121","72","162","80","395","124","467","128"
"0600000US2500107980","Brewster town, Barnstable County, Massachusetts","651","167","0","17","86","96","44","42","74","65","39","38","31","38","40","38","151","95","70","54","116","92"
"0600000US2500112995","Chatham town, Barnstable County, Massachusetts","453","127","24","22","62","68","15","22","30","33","6","10","9","14","66","51","53","38","150","95","38","31"
"0600000US2500116775","Dennis town, Barnstable County, Massachusetts","1815","241","79","53","79","64","205","88","118","65","178","92","161","80","115","81","257","134","545","153","78","43"
"0600000US2500119295","Eastham town, Barnstable County, Massachusetts","223","110","0","12","0","12","0","12","12","19","8","14","0","12","0","12","70","78","54","51","79","46"
"0600000US2500123105","Falmouth town, Barnstable County, Massachusetts","3057","332","56","38","144","86","438","181","202","81","415","150","301","139","386","139","97","49","795","176","223","122"
"0600000US2500129020","Harwich town, Barnstable County, Massachusetts","832","233","13","21","9","14","144","110","140","79","191","144","102","88","18","22","38","30","102","59","75","38"
"0600000US2500139100","Mashpee town, Barnstable County, Massachusetts","852","203","7","11","88","66","37","47","97","60","26","25","74","60","54","61","46","34","296","152","127","79"
"0600000US2500151440","Orleans town, Barnstable County, Massachusetts","469","120","9","13","13","16","62","55","65","39","97","67","10","15","43","55","37","34","133","78","0","17"
"0600000US2500155500","Provincetown town, Barnstable County, Massachusetts","365","89","17","21","10","15","8","13","64","51","40","33","17","19","23","26","32","26","128","66","26","19"
"0600000US2500159735","Sandwich town, Barnstable County, Massachusetts","711","185","36","34","8","13","95","77","97","79","37","55","53","59","90","73","57","50","190","93","48","42"
"0600000US2500170605","Truro town, Barnstable County, Massachusetts","106","69","0","12","0","12","0","12","0","12","42","44","0","12","0","12","22","35","0","12","42","45"
"0600000US2500174385","Wellfleet town, Barnstable County, Massachusetts","240","97","0","12","9","14","36","36","11","18","0","12","13","21","34","32","3","11","82","68","52","36"
"0600000US2500182525","Yarmouth town, Barnstable County, Massachusetts","2180","302","40","30","107","61","194","109","250","111","269","97","134","69","177","101","252","112","608","169","149","83"
"0600000US2500300555","Adams town, Berkshire County, Massachusetts","1485","178","137","72","158","86","183","81","152","69","98","45","197","79","70","55","91","58","305","126","94","59"
"0600000US2500300975","Alford town, Berkshire County, Massachusetts","7","5","3","4","0","12","0","12","0","12","2","3","0","12","0","12","0","12","0","12","2","3"
"0600000US2500304545","Becket town, Berkshire County, Massachusetts","70","34","8","12","18","21","6","8","22","17","0","12","5","6","4","6","0","12","0","12","7","6"
"0600000US2500313345","Cheshire town, Berkshire County, Massachusetts","267","115","0","12","45","48","66","62","53","61","20","32","15","23","0","12","0","12","0","12","68","52"
"0600000US2500314010","Clarksburg town, Berkshire County, Massachusetts","56","24","0","12","0","12","13","10","12","7","0","12","4","5","0","12","4","5","11","16","12","19"
"0600000US2500316180","Dalton town, Berkshire County, Massachusetts","748","177","15","25","21","32","104","72","197","134","42","48","73","67","26","39","96","79","138","99","36","42"
"0600000US2500321360","Egremont town, Berkshire County, Massachusetts","102","40","25","21","0","12","2","5","3","4","8","12","26","24","0","12","5","7","23","23","10","9"
"0600000US2500324120","Florida town, Berkshire County, Massachusetts","41","23","0","12","0","12","0","12","11","12","14","12","0","12","0","12","0","12","10","11","6","6"
"0600000US2500326815","Great Barrington town, Berkshire County, Massachusetts","897","203","0","17","64","62","101","57","52","58","213","137","163","131","58","56","14","23","181","134","51","48"
"0600000US2500328180","Hancock town, Berkshire County, Massachusetts","52","19","0","12","10","10","0","12","9","6","0","12","10","11","0","12","2","4","2","3","19","10"
"0600000US2500330315","Hinsdale town, Berkshire County, Massachusetts","180","55","0","12","45","39","41","34","29","36","0","12","16","24","0","12","0","12","49","38","0","12"
"0600000US2500334340","Lanesborough town, Berkshire County, Massachusetts","182","95","12","19","0","12","12","19","20","23","0","12","0","12","0","12","0","12","67","59","71","76"
"0600000US2500334655","Lee town, Berkshire County, Massachusetts","695","179","46","55","27","26","183","113","15","26","95","55","105","70","21","25","93","82","47","47","63","79"
"0600000US2500334970","Lenox town, Berkshire County, Massachusetts","785","191","77","62","57","43","73","50","107","82","38","43","38","37","22","36","149","104","173","89","51","81"
"0600000US2500342460","Monterey town, Berkshire County, Massachusetts","46","24","0","12","3","4","0","12","7","7","0","12","0","12","0","12","19","20","0","12","17","12"
"0600000US2500343300","Mount Washington town, Berkshire County, Massachusetts","8","10","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","10"
"0600000US2500344385","New Ashford town, Berkshire County, Massachusetts","23","12","1","4","0","12","2","3","4","5","6","8","0","12","0","12","1","3","9","8","0","12"
"0600000US2500345420","New Marlborough town, Berkshire County, Massachusetts","81","33","0","12","0","12","13","12","4","5","16","11","11","16","0","12","16","18","2","4","19","20"
"0600000US2500346225","North Adams city, Berkshire County, Massachusetts","2370","260","166","96","168","80","217","103","131","52","349","125","359","127","122","53","143","73","548","168","167","82"
"0600000US2500351580","Otis town, Berkshire County, Massachusetts","96","41","0","12","4","5","0","12","0","12","10","15","22","25","12","18","0","12","3","5","45","30"
"0600000US2500353050","Peru town, Berkshire County, Massachusetts","24","16","0","12","0","12","0","12","0","12","2","3","0","12","0","12","0","12","2","3","20","16"
"0600000US2500353960","Pittsfield city, Berkshire County, Massachusetts","7383","427","287","153","601","180","834","229","848","211","659","141","637","160","510","156","745","231","1902","300","360","161"
"0600000US2500356795","Richmond town, Berkshire County, Massachusetts","35","22","0","12","0","12","12","10","0","12","0","12","0","12","8","8","11","17","4","5","0","12"
"0600000US2500359665","Sandisfield town, Berkshire County, Massachusetts","5","4","3","4","0","12","0","12","0","12","0","12","0","12","0","12","0","12","2","4","0","12"
"0600000US2500360225","Savoy town, Berkshire County, Massachusetts","24","16","0","12","6","6","0","12","5","6","0","12","11","13","2","3","0","12","0","12","0","12"
"0600000US2500361065","Sheffield town, Berkshire County, Massachusetts","219","83","0","12","19","22","18","22","21","29","13","19","51","58","0","12","37","26","40","24","20","22"
"0600000US2500367595","Stockbridge town, Berkshire County, Massachusetts","301","74","30","28","0","12","22","22","28","22","31","33","31","28","25","27","16","14","70","43","48","37"
"0600000US2500371095","Tyringham town, Berkshire County, Massachusetts","21","12","0","12","2","2","0","12","4","6","1","2","0","12","0","12","0","12","6","5","8","9"
"0600000US2500373335","Washington town, Berkshire County, Massachusetts","11","9","0","12","0","12","0","12","0","12","3","4","0","12","0","12","0","12","0","12","8","7"
"0600000US2500377990","West Stockbridge town, Berkshire County, Massachusetts","61","29","3","4","0","12","0","12","3","6","4","5","0","12","5","5","12","18","17","20","17","18"
"0600000US2500379985","Williamstown town, Berkshire County, Massachusetts","610","109","54","58","34","25","51","35","80","49","68","56","84","44","30","29","58","35","118","69","33","24"
"0600000US2500380685","Windsor town, Berkshire County, Massachusetts","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500500000","County subdivisions not defined, Bristol County, Massachusetts","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500500520","Acushnet town, Bristol County, Massachusetts","540","151","0","19","38","47","47","48","153","109","73","56","51","44","81","74","15","23","37","26","45","53"
"0600000US2500502690","Attleboro city, Bristol County, Massachusetts","5466","447","218","99","291","143","596","180","652","189","964","264","794","251","351","169","271","105","1112","248","217","132"
"0600000US2500505280","Berkley town, Bristol County, Massachusetts","75","60","0","17","0","17","0","17","0","17","0","17","0","17","0","17","23","37","0","17","52","51"
"0600000US2500516425","Dartmouth town, Bristol County, Massachusetts","2480","273","183","129","269","124","290","126","191","96","405","157","159","93","245","151","140","104","480","169","118","67"
"0600000US2500516950","Dighton town, Bristol County, Massachusetts","274","115","0","17","50","48","61","59","22","34","62","50","0","17","15","26","21","33","0","17","43","50"
"0600000US2500520100","Easton town, Bristol County, Massachusetts","1926","205","81","62","162","112","331","125","221","81","206","106","201","89","89","61","146","59","451","127","38","50"
"0600000US2500522130","Fairhaven town, Bristol County, Massachusetts","1562","230","26","29","113","60","262","99","254","116","187","101","171","95","110","61","75","51","219","87","145","84"
"0600000US2500523000","Fall River city, Bristol County, Massachusetts","24492","838","1543","270","2972","422","2769","388","2504","363","2383","401","2071","301","1438","309","1936","386","5833","629","1043","235"
"0600000US2500525240","Freetown town, Bristol County, Massachusetts","299","110","0","17","37","49","37","27","46","36","13","22","0","17","35","40","16","19","107","64","8","12"
"0600000US2500538225","Mansfield town, Bristol County, Massachusetts","2379","275","79","58","489","197","426","187","186","92","261","128","300","140","119","83","113","71","286","125","120","75"
"0600000US2500545000","New Bedford city, Bristol County, Massachusetts","23262","691","1352","240","2831","395","3272","320","2363","364","2188","310","1627","250","1315","240","1734","254","5254","434","1326","242"
"0600000US2500546575","North Attleborough town, Bristol County, Massachusetts","3636","312","122","70","403","182","540","188","471","172","435","176","348","124","139","95","264","110","738","262","176","90"
"0600000US2500549970","Norton town, Bristol County, Massachusetts","974","201","27","24","103","70","197","100","111","58","54","41","84","58","51","36","37","32","262","137","48","39"
"0600000US2500556060","Raynham town, Bristol County, Massachusetts","995","194","14","22","202","153","90","76","43","54","233","156","75","55","32","48","26","45","248","149","32","31"
"0600000US2500556375","Rehoboth town, Bristol County, Massachusetts","395","157","12","21","0","19","56","82","72","74","70","75","38","53","13","22","13","21","76","67","45","48"
"0600000US2500560645","Seekonk town, Bristol County, Massachusetts","983","232","0","19","115","97","291","154","192","103","67","57","69","49","12","20","60","59","161","147","16","25"
"0600000US2500562430","Somerset town, Bristol County, Massachusetts","1388","272","68","48","201","112","213","128","104","87","168","94","75","56","130","90","86","54","208","94","135","66"
"0600000US2500568750","Swansea town, Bristol County, Massachusetts","748","190","96","109","93","73","33","34","112","83","39","35","75","62","9","15","115","82","35","37","141","95"
"0600000US2500569170","Taunton city, Bristol County, Massachusetts","8408","479","381","124","649","196","1007","223","990","245","677","171","703","201","515","193","824","241","2118","367","544","172"
"0600000US2500577570","Westport town, Bristol County, Massachusetts","1122","217","8","12","195","128","113","89","43","36","100","70","134","90","87","81","154","115","179","85","109","78"
"0600000US2500701585","Aquinnah town, Dukes County, Massachusetts","35","33","0","12","0","12","11","15","0","12","3","5","5","8","7","14","2","5","7","9","0","12"
"0600000US2500713800","Chilmark town, Dukes County, Massachusetts","93","49","4","5","3","5","16","19","13","12","5","8","0","12","0","12","0","12","31","39","21","19"
"0600000US2500721150","Edgartown town, Dukes County, Massachusetts","326","117","22","25","20","27","25","36","0","12","37","46","23","37","19","31","35","56","65","53","80","76"
"0600000US2500726325","Gosnold town, Dukes County, Massachusetts","4","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","2","4","2","3"
"0600000US2500750390","Oak Bluffs town, Dukes County, Massachusetts","451","201","0","12","82","74","0","12","56","72","59","69","62","71","43","72","34","53","115","128","0","12"
"0600000US2500769940","Tisbury town, Dukes County, Massachusetts","829","204","12","22","77","90","0","12","125","100","0","12","39","50","50","52","36","56","208","119","282","133"
"0600000US2500778235","West Tisbury town, Dukes County, Massachusetts","134","87","0","12","0","12","0","12","24","37","0","12","0","12","41","47","60","63","0","12","9","13"
"0600000US2500900000","County subdivisions not defined, Essex County, Massachusetts","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500901260","Amesbury Town city, Essex County, Massachusetts","2153","208","26","41","153","89","185","84","331","123","375","103","282","99","112","56","91","52","543","121","55","42"
"0600000US2500901465","Andover town, Essex County, Massachusetts","2389","233","135","74","157","80","361","139","311","104","254","95","200","97","75","52","238","103","398","120","260","108"
"0600000US2500905595","Beverly city, Essex County, Massachusetts","6491","394","221","117","456","168","591","166","619","182","840","197","572","151","417","184","482","137","2030","337","263","124"
"0600000US2500907420","Boxford town, Essex County, Massachusetts","66","54","0","17","0","17","0","17","37","40","0","17","0","17","15","26","0","17","0","17","14","25"
"0600000US2500916250","Danvers town, Essex County, Massachusetts","3063","272","137","93","230","87","378","159","302","127","309","131","259","113","145","81","276","108","858","232","169","103"
"0600000US2500921850","Essex town, Essex County, Massachusetts","260","84","9","15","20","22","20","21","35","37","17","21","18","21","36","38","48","49","20","22","37","44"
"0600000US2500925625","Georgetown town, Essex County, Massachusetts","632","124","10","15","67","56","54","34","39","29","112","81","106","78","0","17","54","28","177","88","13","20"
"0600000US2500926150","Gloucester city, Essex County, Massachusetts","4715","318","168","98","176","91","497","135","682","175","509","149","569","170","313","119","364","112","1172","200","265","94"
"0600000US2500927620","Groveland town, Essex County, Massachusetts","315","139","0","17","28","33","15","24","64","80","0","17","0","17","0","17","20","25","92","76","96","86"
"0600000US2500927900","Hamilton town, Essex County, Massachusetts","519","99","16","18","10","16","30","29","11","17","51","43","10","17","65","70","44","42","131","61","151","79"
"0600000US2500929405","Haverhill city, Essex County, Massachusetts","10406","511","325","161","638","200","1199","281","1227","233","1210","268","811","184","632","186","1042","199","2850","399","472","171"
"0600000US2500932310","Ipswich town, Essex County, Massachusetts","1630","230","27","24","141","72","274","109","140","74","173","74","160","93","93","51","165","83","302","120","155","81"
"0600000US2500934550","Lawrence city, Essex County, Massachusetts","17909","785","591","162","1142","221","1836","301","1742","370","1940","291","1894","293","885","171","2045","364","5226","489","608","184"
"0600000US2500937490","Lynn city, Essex County, Massachusetts","17968","650","642","171","1110","213","1601","280","2126","392","1990","332","1737","267","1008","212","1830","305","5079","477","845","203"
"0600000US2500937560","Lynnfield town, Essex County, Massachusetts","685","161","46","48","16","25","29","37","72","46","14","23","11","17","68","63","56","47","373","132","0","19"
"0600000US2500937995","Manchester-by-the-Sea town, Essex County, Massachusetts","494","135","30","49","33","38","59","54","37","43","86","88","108","90","14","21","20","30","93","97","14","21"
"0600000US2500938400","Marblehead town, Essex County, Massachusetts","1804","226","101","105","123","75","219","85","89","47","278","128","306","150","97","61","105","74","379","159","107","69"
"0600000US2500940430","Merrimac town, Essex County, Massachusetts","350","113","13","25","26","29","62","67","51","60","40","41","0","17","40","50","13","21","70","73","35","30"
"0600000US2500940710","Methuen Town city, Essex County, Massachusetts","5048","334","190","146","454","208","412","172","487","141","429","153","337","109","406","167","526","174","1421","237","386","123"
"0600000US2500941095","Middleton town, Essex County, Massachusetts","349","141","73","112","24","38","15","24","0","17","27","40","0","17","17","27","51","50","91","60","51","47"
"0600000US2500943580","Nahant town, Essex County, Massachusetts","473","86","27","26","49","34","80","59","52","32","50","33","34","32","47","61","46","47","88","51","0","12"
"0600000US2500945175","Newbury town, Essex County, Massachusetts","351","116","14","23","16","26","42","40","0","17","42","39","30","34","0","17","14","21","68","53","125","93"
"0600000US2500945245","Newburyport city, Essex County, Massachusetts","1787","237","93","110","190","86","111","66","276","133","269","130","164","98","112","87","54","52","446","211","72","53"
"0600000US2500946365","North Andover town, Essex County, Massachusetts","3183","316","47","39","252","152","489","152","486","183","319","138","198","101","167","93","301","148","801","237","123","72"
"0600000US2500952490","Peabody city, Essex County, Massachusetts","7423","424","271","116","442","187","685","217","862","216","543","176","1007","275","499","184","818","242","1978","399","318","133"
"0600000US2500957880","Rockport town, Essex County, Massachusetts","1032","162","52","53","94","60","146","87","149","78","135","69","66","56","48","36","96","51","183","79","63","59"
"0600000US2500958405","Rowley town, Essex County, Massachusetts","414","121","15","24","32","36","79","62","20","32","92","63","63","57","18","27","0","17","77","72","18","28"
"0600000US2500959105","Salem city, Essex County, Massachusetts","8936","613","205","91","525","202","1042","245","1218","303","1097","277","1012","247","452","198","580","184","2569","420","236","101"
"0600000US2500959245","Salisbury town, Essex County, Massachusetts","715","160","20","22","70","53","98","58","133","82","28","25","34","32","23","26","37","33","186","83","86","77"
"0600000US2500960015","Saugus town, Essex County, Massachusetts","2023","260","95","75","284","115","140","79","125","105","357","133","113","94","71","68","303","155","440","207","95","58"
"0600000US2500968645","Swampscott town, Essex County, Massachusetts","1322","225","95","66","17","17","59","46","209","92","159","87","98","80","136","111","81","51","424","167","44","42"
"0600000US2500970150","Topsfield town, Essex County, Massachusetts","214","92","0","17","18","29","18","29","14","22","38","42","16","26","15","25","20","35","75","88","0","17"
"0600000US2500974595","Wenham town, Essex County, Massachusetts","142","63","10","17","11","17","0","17","9","13","0","17","25","38","0","17","0","17","46","31","41","32"
"0600000US2500977150","West Newbury town, Essex County, Massachusetts","137","67","0","12","10","16","0","12","9","13","25","28","29","27","0","12","0","12","9","14","55","59"
"0600000US2501102095","Ashfield town, Franklin County, Massachusetts","122","39","0","12","26","24","16","18","14","10","10","11","13","9","0","12","0","12","22","19","21","17"
"0600000US2501105560","Bernardston town, Franklin County, Massachusetts","194","57","0","12","19","22","0","12","38","28","8","10","4","8","36","31","13","13","23","17","53","41"
"0600000US2501109595","Buckland town, Franklin County, Massachusetts","229","74","6","8","31","23","21","14","22","21","18","12","0","12","0","12","35","36","44","35","52","61"
"0600000US2501112505","Charlemont town, Franklin County, Massachusetts","98","40","0","12","19","17","15","11","7","7","27","21","3","5","0","12","5","6","8","9","14","16"
