,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Housing units with a mortgage:,Margin of Error!!Total:!!Housing units with a mortgage:,Estimate!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent,Estimate!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!50.0 percent or more,Margin of Error!!Total:!!Housing units with a mortgage:!!50.0 percent or more,Estimate!!Total:!!Housing units with a mortgage:!!Not computed,Margin of Error!!Total:!!Housing units with a mortgage:!!Not computed,Estimate!!Total:!!Housing units without a mortgage:,Margin of Error!!Total:!!Housing units without a mortgage:,Estimate!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent,Estimate!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!50.0 percent or more,Margin of Error!!Total:!!Housing units without a mortgage:!!50.0 percent or more,Estimate!!Total:!!Housing units without a mortgage:!!Not computed,Margin of Error!!Total:!!Housing units without a mortgage:!!Not computed,id
1,Barnstable,14089,542,9299,509,555,153,1015,189,1530,240,1397,221,1088,224,740,159,761,172,665,174,1472,252,76,57,4790,356,1669,249,917,173,648,163,417,137,168,58,271,132,146,94,156,72,371,91,27,25,0600000US2500103690
2,Bourne,6236,356,3955,330,232,84,614,148,583,154,600,172,546,149,352,130,371,162,225,102,432,146,0,19,2281,306,771,220,405,134,263,119,92,54,208,123,119,88,76,65,106,83,241,102,0,19,0600000US2500107175
3,Brewster,3547,247,2258,235,104,61,496,165,298,114,334,134,217,98,198,80,140,86,144,82,327,116,0,17,1289,190,289,100,296,104,346,141,111,61,15,24,68,74,15,23,106,81,29,44,14,22,0600000US2500107980
4,Chatham,2441,149,1308,158,79,44,163,66,241,83,152,64,157,75,123,52,82,44,120,79,183,69,8,13,1133,182,374,108,277,89,84,46,139,57,58,38,0,17,61,38,62,55,59,36,19,21,0600000US2500112995
5,Dennis,5047,319,2894,272,135,67,408,103,639,122,388,117,344,127,173,64,164,64,213,80,417,133,13,20,2153,210,831,132,467,122,262,96,165,68,117,70,38,29,44,46,96,56,123,62,10,15,0600000US2500116775
6,Eastham,2173,157,1188,157,90,47,104,42,191,89,123,60,154,71,104,62,91,49,87,48,244,103,0,12,985,190,287,82,185,88,123,69,203,122,35,56,18,19,18,20,45,51,71,57,0,12,0600000US2500119295
7,Falmouth,10764,445,6355,364,490,150,859,171,1091,212,822,156,433,105,584,151,359,126,715,174,965,235,37,44,4409,383,1722,266,804,163,536,157,245,93,369,125,278,114,27,28,155,63,265,96,8,12,0600000US2500123105
8,Harwich,4601,268,2752,236,142,67,324,118,289,113,383,126,327,124,235,104,133,57,207,66,703,184,9,14,1849,219,684,140,293,102,212,59,149,60,91,65,41,31,108,69,173,97,88,52,10,16,0600000US2500129020
9,Mashpee,5508,262,3656,245,217,87,376,90,436,109,538,140,544,127,254,97,383,171,306,132,602,144,0,19,1852,178,735,133,261,70,115,48,174,55,202,71,99,51,48,30,47,34,163,73,8,13,0600000US2500139100
10,Orleans,2249,139,1004,149,65,30,25,25,204,97,170,71,144,86,26,29,51,39,93,62,226,84,0,17,1245,149,387,93,312,95,185,99,76,43,101,55,44,31,20,22,29,28,69,39,22,24,0600000US2500151440
11,Provincetown,1337,119,740,119,81,44,67,37,53,34,48,33,72,41,36,34,109,69,52,41,213,72,9,14,597,119,162,72,51,33,83,56,71,54,53,33,35,43,0,12,38,29,104,65,0,12,0600000US2500155500
12,Sandwich,7107,309,5083,308,209,90,352,119,1032,187,1082,186,713,201,328,122,204,92,265,94,866,189,32,39,2024,281,722,170,523,158,254,92,91,49,134,97,41,35,54,36,30,30,175,78,0,23,0600000US2500159735
13,Truro,495,122,292,81,7,10,17,17,61,31,26,31,60,59,58,38,23,37,22,34,18,21,0,12,203,88,73,50,0,12,30,35,8,11,36,42,0,12,29,45,20,32,7,11,0,12,0600000US2500170605
14,Wellfleet,1358,166,552,123,10,16,56,38,103,65,40,30,61,62,76,63,66,36,29,26,111,79,0,12,806,159,352,118,175,74,64,54,67,38,37,29,68,58,0,12,11,17,22,25,10,15,0600000US2500174385
15,Yarmouth,8335,322,5053,331,358,102,593,166,701,195,755,232,562,172,399,123,322,127,376,130,954,183,33,35,3282,312,1018,165,687,170,483,139,313,101,155,73,121,67,97,62,53,42,326,101,29,28,0600000US2500182525
16,Adams,2264,166,1424,152,166,60,301,81,275,86,201,88,90,44,99,52,35,25,111,71,146,64,0,17,840,102,203,64,179,62,132,46,128,52,49,46,36,25,35,25,29,29,41,26,8,13,0600000US2500300555
17,Alford,191,34,94,22,11,7,18,9,8,8,21,11,5,7,12,12,3,4,3,6,13,8,0,12,97,32,41,17,19,18,3,4,10,7,2,4,0,12,2,3,3,4,7,6,10,13,0600000US2500300975
18,Becket,755,76,476,61,29,20,51,24,117,42,51,22,76,27,56,37,20,12,30,20,46,17,0,12,279,53,84,24,64,27,48,29,12,11,14,17,25,14,3,4,22,21,7,7,0,12,0600000US2500304545
19,Cheshire,1206,125,779,139,40,32,145,65,242,126,16,20,73,51,50,41,10,16,58,40,133,78,12,18,427,90,140,62,130,63,66,41,12,18,5,9,25,26,0,12,12,19,37,33,0,12,0600000US2500313345
20,Clarksburg,653,38,461,41,40,17,87,29,84,23,90,28,59,20,22,13,17,10,20,11,42,23,0,12,192,34,67,18,41,15,34,21,25,19,10,8,5,7,3,5,0,12,7,7,0,12,0600000US2500314010
21,Dalton,2286,238,1489,219,36,39,305,117,261,143,348,172,200,107,71,53,61,54,150,126,57,45,0,17,797,182,232,106,228,99,110,68,34,38,65,63,0,17,16,25,17,26,74,55,21,34,0600000US2500316180
22,Egremont,512,68,315,59,37,22,28,16,46,18,52,26,32,22,32,28,18,14,45,25,25,12,0,12,197,54,85,39,29,20,24,21,14,18,12,11,17,17,10,16,3,6,3,5,0,12,0600000US2500321360
23,Florida,273,42,174,32,2,4,54,21,37,20,11,7,12,13,21,16,7,5,8,6,22,13,0,12,99,29,35,15,26,17,12,7,8,6,5,4,2,3,0,12,2,4,7,6,2,3,0600000US2500324120
24,Great Barrington,1916,244,1183,196,63,58,134,92,194,102,209,112,100,83,98,66,115,75,39,43,231,119,0,17,733,199,140,92,118,85,57,53,70,58,133,130,0,17,41,65,17,27,157,106,0,17,0600000US2500326815
25,Hancock,190,35,95,22,12,8,12,7,22,15,14,7,13,6,6,5,2,4,2,3,12,8,0,12,95,29,57,22,13,8,14,12,7,10,0,12,0,12,0,12,0,12,2,4,2,3,0600000US2500328180
26,Hinsdale,618,60,373,61,38,27,29,19,82,44,101,48,16,15,43,41,0,12,23,24,41,23,0,12,245,51,68,27,38,31,56,32,17,16,34,20,10,12,5,8,0,12,17,14,0,12,0600000US2500330315
27,Lanesborough,1073,106,816,108,65,56,122,70,177,69,30,28,44,37,76,47,92,66,89,51,121,84,0,12,257,95,65,45,62,44,20,26,62,63,20,24,0,12,0,12,0,12,14,22,14,22,0600000US2500334340
28,Lee,1548,197,978,178,42,48,97,89,317,140,191,97,139,77,94,83,5,9,10,16,83,54,0,17,570,146,199,106,49,39,59,42,85,43,46,74,0,17,48,47,24,27,37,33,23,25,0600000US2500334655
29,Lenox,1493,178,848,134,57,50,160,70,159,76,142,82,74,54,70,56,52,47,63,50,71,52,0,12,645,142,359,132,119,68,65,41,0,12,0,12,34,40,0,12,16,26,52,51,0,12,0600000US2500334970
30,Monterey,316,51,151,36,11,9,27,13,22,11,12,9,14,15,16,17,3,4,2,5,41,27,3,4,165,42,74,31,9,7,28,17,9,6,14,16,3,4,2,5,9,15,17,15,0,12,0600000US2500342460
31,Mount Washington,78,21,42,14,3,4,9,6,0,12,7,5,2,3,4,4,1,3,1,2,15,12,0,12,36,16,14,10,5,4,2,3,10,10,0,12,3,4,0,12,2,6,0,12,0,12,0600000US2500343300
32,New Ashford,98,21,54,18,11,8,23,14,0,12,6,5,7,8,2,3,0,12,2,4,0,12,3,6,44,15,13,8,10,8,1,3,4,5,5,4,3,3,0,12,0,12,8,8,0,12,0600000US2500344385
33,New Marlborough,602,64,394,59,36,25,22,12,57,22,63,31,38,19,59,31,14,12,32,23,73,33,0,12,208,53,88,40,40,27,28,25,11,9,27,19,0,12,3,5,0,12,11,9,0,12,0600000US2500345420
34,North Adams,3198,280,2025,220,120,60,410,123,494,147,357,107,130,60,70,38,18,18,111,71,254,99,61,56,1173,186,243,100,325,91,128,63,145,93,95,70,46,37,39,28,46,34,95,60,11,14,0600000US2500346225
35,Otis,595,74,374,71,44,28,74,40,82,42,47,23,32,16,32,24,3,4,24,15,36,17,0,12,221,47,105,31,52,32,16,10,16,14,11,16,8,9,0,12,0,12,13,8,0,12,0600000US2500351580
36,Peru,325,34,221,39,28,11,16,11,32,19,22,11,16,9,20,13,31,15,17,14,39,19,0,12,104,27,43,14,33,20,8,6,7,6,4,5,9,13,0,12,0,12,0,12,0,12,0600000US2500353050
37,Pittsfield,11935,411,7927,402,427,123,1293,277,1626,301,1305,227,741,172,592,154,263,102,579,192,1079,216,22,24,4008,354,1379,195,735,197,445,121,358,99,300,78,151,81,130,67,135,71,340,107,35,34,0600000US2500353960
38,Richmond,644,44,346,39,41,20,41,21,76,26,50,17,28,15,27,14,7,7,36,19,40,15,0,12,298,43,128,31,42,20,35,15,30,16,7,7,3,4,6,6,20,10,27,20,0,12,0600000US2500356795
39,Sandisfield,348,42,222,38,19,12,16,13,47,20,35,18,40,19,8,7,9,8,21,15,27,13,0,12,126,31,63,24,21,8,13,9,9,7,2,3,0,12,0,12,2,4,16,14,0,12,0600000US2500359665
40,Savoy,269,29,165,27,10,8,20,14,39,13,19,9,24,12,5,4,27,17,2,3,19,14,0,12,104,25,30,12,22,13,24,13,14,9,0,12,6,5,0,12,3,4,5,5,0,12,0600000US2500360225
41,Sheffield,1165,112,716,118,97,62,94,58,63,44,126,69,47,39,72,51,19,21,93,76,105,65,0,12,449,120,206,100,92,39,35,28,19,21,0,12,11,16,10,15,36,35,40,34,0,12,0600000US2500361065
42,Stockbridge,546,79,219,71,21,22,45,33,23,19,6,10,19,21,33,30,11,17,0,12,61,35,0,12,327,77,89,41,55,36,26,24,39,28,10,11,13,16,17,19,22,24,46,35,10,15,0600000US2500367595
43,Tyringham,169,32,77,20,3,4,23,16,10,8,18,10,4,7,2,3,1,2,10,6,6,5,0,12,92,29,53,16,17,12,5,5,7,6,2,3,3,3,0,12,0,12,0,12,5,7,0600000US2500371095
44,Washington,231,33,153,26,9,7,26,15,39,16,6,6,9,8,7,9,5,7,7,5,41,19,4,5,78,20,37,12,12,8,15,9,5,5,0,12,0,12,6,5,0,12,0,12,3,4,0600000US2500373335
45,West Stockbridge,400,47,217,44,15,10,17,10,49,22,50,22,9,9,31,23,22,21,14,16,10,11,0,12,183,39,61,23,40,20,50,27,8,6,10,12,5,6,4,5,5,7,0,12,0,12,0600000US2500377990
46,Williamstown,1665,180,917,135,34,24,227,83,150,52,175,76,70,41,81,42,49,32,17,20,114,53,0,17,748,136,250,76,141,45,159,49,24,21,45,32,8,12,11,12,43,30,61,61,6,8,0600000US2500379985
47,Windsor,366,45,277,43,15,8,62,20,22,10,46,19,20,14,32,14,4,5,17,14,59,29,0,12,89,24,55,16,7,5,13,6,6,7,8,11,0,12,0,12,0,12,0,12,0,12,0600000US2500380685
48,"County subdivisions not defined, Bristol County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0600000US2500500000
49,Acushnet,3554,214,2476,221,138,86,276,112,592,202,526,165,260,104,224,105,117,97,85,59,251,117,7,12,1078,170,348,108,343,120,70,46,53,39,70,45,72,61,28,27,48,48,46,31,0,19,0600000US2500500520
50,Attleboro,12166,517,8572,512,345,125,1199,220,1938,274,1548,267,1302,220,647,175,539,155,429,144,605,195,20,32,3594,355,1200,221,575,174,333,122,287,149,236,119,208,119,228,138,163,132,364,152,0,26,0600000US2500502690
51,Berkley,2309,145,1722,168,70,73,384,160,259,107,425,175,151,90,144,80,30,33,63,57,196,116,0,17,587,155,233,137,70,57,129,80,49,45,16,25,19,30,0,17,37,43,18,29,16,27,0600000US2500505280
52,Dartmouth,9083,372,5795,325,388,96,904,202,1413,223,895,172,681,158,389,134,328,112,236,113,529,135,32,39,3288,294,1284,207,585,149,331,99,244,116,145,75,146,70,125,83,175,95,226,96,27,29,0600000US2500516425
53,Dighton,2561,177,1710,211,30,34,297,110,348,116,270,120,223,103,63,57,92,86,90,75,297,150,0,17,851,223,301,120,175,109,84,62,83,110,0,17,92,85,0,17,18,30,98,108,0,17,0600000US2500516950
54,Easton,6551,263,4713,268,252,84,706,136,1171,189,858,166,533,128,332,105,214,75,210,79,424,131,13,15,1838,222,702,153,334,100,267,102,221,79,65,41,53,41,24,20,29,26,143,60,0,23,0600000US2500520100
55,Fairhaven,4830,292,3262,261,149,74,473,98,773,154,428,107,328,108,247,115,117,64,272,115,447,130,28,31,1568,249,498,148,324,115,155,62,133,60,89,56,60,48,62,44,44,31,143,63,60,51,0600000US2500522130
56,Fall River,13964,607,8956,532,447,155,1117,219,1745,348,1433,258,1017,203,790,182,403,143,564,165,1391,266,49,38,5008,449,1446,222,1129,241,688,181,482,128,337,101,191,85,36,26,244,94,399,129,56,39,0600000US2500523000
57,Freetown,2963,157,2077,137,126,55,358,106,238,87,350,92,298,85,137,52,116,57,183,102,258,101,13,20,886,146,241,79,251,96,137,56,55,37,20,23,65,55,9,14,42,29,59,32,7,12,0600000US2500525240
58,Mansfield,6271,359,4789,348,535,138,789,182,1176,228,790,190,530,141,313,123,194,87,189,102,273,110,0,23,1482,250,683,179,379,120,186,84,59,45,60,61,24,28,31,36,0,23,48,47,12,18,0600000US2500538225
59,New Bedford,15626,485,9806,455,425,118,1508,213,1635,255,1834,262,853,156,971,168,362,96,583,135,1546,247,89,59,5820,417,1721,244,1113,203,629,122,674,125,302,89,252,82,180,68,235,80,651,174,63,30,0600000US2500545000
60,"North Attleborough town, Bristol County, Massachusetts",7435,336,5571,281,408,133,882,164,1439,249,949,188,568,136,464,148,253,111,241,123,351,117,16,24,1864,235,679,154,391,125,356,105,48,41,75,48,51,42,45,54,34,36,134,102,51,46,0600000US2500546575
61,Norton,5596,250,4009,251,239,112,611,139,1101,183,729,154,433,110,313,94,142,65,116,60,325,122,0,19,1587,174,710,153,240,80,160,63,103,65,70,53,74,54,63,48,59,42,108,57,0,19,0600000US2500549970
62,Raynham,4230,223,2912,223,228,85,348,116,608,160,538,160,457,158,201,100,97,66,137,70,285,126,13,23,1318,209,343,109,351,129,143,76,76,55,132,72,7,11,7,14,139,117,120,52,0,19,0600000US2500556060
63,Rehoboth,3765,214,2892,236,204,91,400,114,721,192,470,139,368,143,177,87,131,79,185,132,236,86,0,19,873,187,303,123,146,70,106,60,98,68,61,51,61,58,0,19,58,74,40,38,0,19,0600000US2500556375
64,Seekonk,5069,320,3451,313,291,142,719,191,814,229,439,160,268,105,230,128,210,156,103,79,377,143,0,19,1618,243,642,153,320,145,117,59,136,79,128,64,79,87,0,19,72,90,109,101,15,25,0600000US2500560645
65,Somerset,5568,311,3613,291,171,92,529,199,673,145,730,201,543,154,145,71,276,111,194,91,352,138,0,19,1955,274,627,147,378,128,268,102,105,62,105,73,153,100,111,64,27,33,169,83,12,19,0600000US2500562430
66,Swansea,5613,255,3759,262,72,58,468,147,848,180,796,161,479,159,206,108,168,136,251,139,471,181,0,19,1854,257,741,187,308,112,223,115,197,118,96,66,10,17,73,56,59,45,147,86,0,19,0600000US2500568750
67,Taunton,13951,508,9536,500,599,187,1284,264,1805,281,1667,302,1035,232,859,216,443,128,607,198,1194,244,43,49,4415,393,1536,232,849,247,517,134,294,128,252,87,149,76,96,63,194,113,411,165,117,69,0600000US2500569170
68,Westport,5403,287,3250,346,142,75,354,127,830,201,640,208,430,152,170,109,189,108,100,82,395,157,0,19,2153,293,914,226,317,117,188,99,180,89,164,98,106,93,19,23,86,52,179,103,0,19,0600000US2500577570
69,Aquinnah,141,36,81,24,7,11,4,4,6,7,13,9,13,13,4,5,5,6,3,4,25,15,1,3,60,24,19,12,6,7,12,12,11,14,2,3,2,3,0,12,0,12,8,9,0,12,0600000US2500701585
70,Chilmark,363,80,159,45,12,10,15,11,42,25,6,6,3,5,9,8,3,6,24,29,45,20,0,12,204,66,89,34,17,17,24,18,13,9,7,7,4,6,0,12,7,7,43,29,0,12,0600000US2500713800
71,Edgartown,1127,186,543,144,16,19,69,81,164,102,52,50,21,21,53,67,15,17,49,40,104,63,0,12,584,164,187,80,40,37,126,76,23,24,51,47,41,50,46,49,7,11,29,37,34,57,0600000US2500721150
72,Gosnold,22,11,12,9,0,12,1,3,0,12,2,3,5,6,0,12,0,12,2,3,2,3,0,12,10,6,3,4,1,2,2,3,2,3,0,12,0,12,0,12,0,12,2,3,0,12,0600000US2500726325
73,Oak Bluffs,1299,202,812,213,0,12,72,61,118,77,141,117,106,81,53,72,35,55,93,79,194,131,0,12,487,159,81,76,131,97,30,48,0,12,0,12,65,78,0,12,74,85,106,97,0,12,0600000US2500750390
74,Tisbury,1007,164,427,128,17,28,30,36,54,49,50,45,94,74,26,32,83,70,0,12,73,49,0,12,580,143,96,56,77,75,92,76,161,95,44,53,0,12,34,37,6,11,70,62,0,12,0600000US2500769940
75,West Tisbury,934,181,570,152,0,12,91,78,115,97,44,43,8,11,48,42,60,57,69,51,135,82,0,12,364,138,80,60,104,85,44,54,22,22,63,67,20,20,0,12,0,12,31,30,0,12,0600000US2500778235
76,"County subdivisions not defined, Essex County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0600000US2500900000
77,Amesbury,5062,272,3790,274,153,81,461,144,728,130,793,180,471,144,429,104,196,92,218,95,341,105,0,19,1272,176,279,97,257,81,232,84,163,59,52,30,52,37,33,30,90,59,72,42,42,43,0600000US2500901260
78,Andover,10412,318,7297,358,532,128,1270,206,1532,269,1330,247,884,221,487,143,257,89,285,107,720,136,0,26,3115,292,1198,209,662,146,365,105,210,83,217,87,55,47,32,31,75,54,251,133,50,38,0600000US2500901465
